state,20200714,20200713,20200712,20200711,20200710,20200709,20200708,20200707,20200706,20200705,20200704,20200703,20200702,20200701,20200630,20200629,20200628,20200627,20200626,20200625,20200624,20200623,20200622,20200621,20200620,20200619,20200618,20200617,20200616,20200615,20200614,20200613,20200612,20200611,20200610,20200609,20200608,20200607,20200606,20200605,20200604,20200603,20200602,20200601,20200531,20200530,20200529,20200528,20200527,20200526,20200525,20200524,20200523,20200522,20200521,20200520,20200519,20200518,20200517,20200516,20200515,20200514,20200513,20200512,20200511,20200510,20200509,20200508,20200507,20200506,20200505,20200504,20200503,20200502,20200501,20200430,20200429,20200428,20200427,20200426,20200425,20200424,20200423,20200422,20200421,20200420,20200419,20200418,20200417,20200416
AK,1579,1539,1479,1385,1323,1272,1226,1184,1138,1138,1111,1063,1017,978,940,904,883,854,836,816,792,778,761,755,743,722,708,696,676,664,661,654,625,611,593,573,563,544,536,524,513,505,487,467,434,434,430,425,412,411,409,408,408,404,402,402,399,399,396,392,388,387,383,383,381,379,378,377,374,372,371,370,368,365,364,355,355,351,345,341,339,339,337,335,329,321,319,314,309,300
AL,57255,55545,53587,51947,50508,49174,46962,45785,44878,43953,42862,41865,40111,38962,38045,37175,35441,35083,34183,33206,32064,31097,30454,30021,29549,29002,28206,27312,26912,26272,25615,24601,23710,22845,21989,21422,20925,20500,20043,19387,19072,18851,18642,18363,17903,17359,16823,16310,15843,15396,14730,14327,13938,13563,13119,12744,12376,12086,11771,11523,11216,10968,10617,10310,10009,9777,9567,9221,8898,8581,8285,8025,7725,7434,7158,7019,6842,6687,6499,6270,6137,5832,5778,5465,5231,5025,4837,4655,4530,4345
AR,29733,28939,28367,26803,26803,26052,24512,24512,24253,23209,23209,22622,22075,21197,20777,20257,19310,18740,18062,18062,17375,16678,16083,15142,15142,14631,13928,13606,13191,12917,12501,11547,11547,10816,10368,10080,9740,9426,9101,8651,8067,8067,7443,7443,7253,7013,6538,6538,6277,6180,6029,5922,5612,5612,5458,5003,4923,4813,4759,4578,4463,4236,4164,4164,4034,3747,3747,3694,3611,3568,3496,3458,3431,3372,3321,3255,3192,3111,3017,2941,2829,2741,2465,2276,2227,1923,1781,1739,1695,1620
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,128097,123824,122467,119930,116892,112671,108614,105094,101441,98089,94553,91858,87425,84092,79215,74533,73908,70051,66548,63030,59974,58179,54586,52390,49798,46689,43443,40924,39097,36705,35691,34458,32918,31264,29852,28296,27678,26889,25451,24332,22753,22233,21250,20123,19936,19255,18465,17763,17262,16783,16561,16339,16039,15608,15315,14897,14566,14170,13937,13631,13169,12674,12176,11736,11380,11119,10960,10526,9945,9707,9305,8919,8640,8364,7962,7648,7202,6948,6716,6526,6280,6045,5769,5459,5251,5064,4929,4719,4507,4234
CA,336508,329162,320804,312344,304297,296499,289468,277774,271684,260155,254745,248235,240195,232657,222917,216550,211243,206433,200461,195571,190222,183073,178054,173824,169309,165416,161099,157015,153560,151452,148855,145643,141983,139281,136191,133489,131319,128812,126016,122901,119807,117687,115310,113006,110583,106878,103886,101697,98980,96733,94558,92710,90631,88444,86197,84057,81795,80430,78839,76793,74936,73164,71141,69382,67939,66680,64561,62512,60614,58815,56212,54937,53616,52197,50442,48917,46500,45031,43464,42164,41137,39254,37369,35396,33261,30978,30333,28963,27528,26182
CO,37242,36913,36591,36191,35525,35116,34664,34257,34065,33866,33619,33352,33029,32715,32511,32307,32022,31796,31479,31155,30893,30705,30539,30349,30187,29901,29673,29442,29299,29130,29017,28822,28647,28499,28347,28183,28001,27848,27615,27360,27060,26788,26577,26378,26098,25613,25121,24767,24565,24269,24174,23964,23487,23191,22797,22482,22202,21938,21633,21232,20838,20475,20157,19879,19899,19703,18827,18801,17830,17364,16907,16635,16225,15768,15284,14758,14735,13879,13441,12968,12256,11262,10878,10447,10106,9730,9433,9047,8675,8280
CT,47530,47510,47287,47287,47287,47209,47108,47033,46976,46717,46717,46717,46646,46572,46514,46362,46303,46206,46059,45994,45913,45899,45782,45755,45715,45557,45440,45429,45349,45235,45088,44994,44689,44461,44347,44179,44092,43968,43818,43460,43239,43091,42979,42740,42201,42022,41762,41559,41288,41303,40873,40468,40022,39640,39208,39017,38430,38116,37419,36703,36085,35464,34855,34333,33765,33554,32984,32411,31784,30995,30621,29287,29287,28764,28764,27700,26767,26312,25269,25269,24582,23921,23100,22469,20360,19815,17550,16809,16809,15884
DC,10946,10906,10847,10801,10743,10679,10642,10569,10515,10482,10447,10435,10390,10365,10327,10292,10248,10216,10185,10159,10128,10094,10058,10020,9984,9952,9903,9847,9818,9799,9767,9709,9654,9589,9537,9474,9389,9332,9269,9199,9120,9016,8886,8857,8801,8717,8538,8492,8406,8334,8225,7966,7966,7893,7788,7551,7434,7270,7123,7042,6871,6736,6584,6485,6389,6272,6102,5899,5654,5461,5322,5170,5016,4797,4658,4323,4106,3994,3892,3841,3699,3528,3361,3206,3098,2927,2793,2666,2476,2350
DE,12969,12879,12804,12743,12652,12531,12462,12414,12293,12128,11996,11923,11731,11510,11474,11376,11226,11091,11017,10980,10889,10847,10820,10775,10681,10611,10499,10444,10403,10340,10264,10229,10173,10106,10056,10020,9972,9942,9845,9773,9746,9712,9685,9605,9498,9422,9236,9171,9096,9066,8965,8809,8690,8529,8386,8194,8037,7869,7670,7547,7373,7223,6952,6741,6565,6447,6277,6111,5939,5778,5371,5288,5208,5038,4918,4734,4655,4575,4162,4034,3576,3442,3308,3200,2931,2745,2538,2323,2323,2075
FL,291629,282435,269811,254511,244151,232718,223783,213794,206447,200111,190052,178594,169106,158997,152434,146341,141075,132545,122960,114018,109014,103503,100217,97291,93797,89748,85926,82719,80109,77326,75568,73552,70971,69069,67371,66000,64904,63938,62758,61488,60183,58764,57447,56830,56163,55424,54497,53285,52634,52255,51746,50867,50127,49451,48675,47471,46944,46442,45588,44811,43210,43210,42402,41923,40982,40596,40001,39199,38828,38002,37439,36897,36078,35463,34728,33690,33193,32846,32138,31528,30839,30174,28832,28309,27495,26660,25996,25269,24119,22897
GA,123963,120569,116926,114401,111211,106727,103890,100470,97064,95516,93319,90493,87709,84237,81291,79417,77210,74985,72995,71095,69381,67678,65928,64701,63809,62009,60912,60030,59078,58414,57681,56801,55783,54973,53980,53249,52497,51898,51309,50621,49847,48894,48207,47618,46986,46286,45670,45070,44421,43730,43344,42838,42132,41218,40405,39647,38721,38081,37701,37147,36681,35858,35332,34635,33927,33441,32532,32106,31439,30696,29711,29368,28602,28306,27270,26155,25572,24615,23913,23401,22695,22147,21512,20740,19881,18947,18301,17669,17194,15669
GU,312,312,312,312,310,309,307,303,301,288,288,286,280,267,259,255,248,248,248,245,231,225,224,222,222,200,193,188,186,185,185,185,184,183,182,180,179,179,179,179,179,178,177,175,173,173,172,172,170,169,166,166,165,165,165,165,154,154,154,154,154,153,152,152,151,151,151,151,151,151,149,149,150,148,146,146,145,145,144,141,141,141,135,134,133,133,133,133,133,133
HI,1243,1220,1200,1158,1130,1094,1071,1030,1023,999,975,946,926,917,900,899,872,866,850,835,819,816,814,803,789,762,744,740,736,728,723,706,692,685,682,676,675,673,664,655,653,653,652,652,651,649,647,644,643,643,643,643,642,647,643,641,640,640,639,638,637,638,635,634,632,631,629,629,626,625,621,620,620,619,618,613,609,607,606,603,601,596,592,582,584,580,574,553,541,530
IA,35849,35529,35071,34647,33984,33240,32509,32029,31657,31353,31041,30429,30209,29451,29007,28782,28489,28012,27686,27197,26705,26373,26051,25963,25496,25275,24854,24461,24179,24053,23926,23717,23337,22938,22551,22236,21987,21667,21478,21152,20805,20055,20016,19697,19552,19244,18926,18573,18360,17703,17577,17252,16893,16504,16170,15614,15349,14955,14651,14328,14049,13675,13289,12912,12373,11959,11671,11457,11059,10404,10111,9703,9169,8641,7884,7145,6843,6376,5868,5476,5092,4445,3924,3748,3641,3159,2902,2513,2332,2141
ID,11402,10902,10505,9928,9428,8969,8539,8052,7733,7370,6994,6593,6370,6117,5752,5319,5319,5148,4865,4645,4402,4254,4006,4006,3871,3743,3632,3540,3462,3399,3399,3353,3302,3260,3220,3189,3139,3139,3111,3054,2990,2933,2906,2839,2839,2803,2769,2731,2699,2626,2626,2626,2595,2534,2506,2476,2455,2419,2419,2389,2351,2324,2293,2260,2230,2230,2205,2178,2158,2127,2106,2061,2061,2035,2015,1984,1952,1917,1897,1887,1870,1836,1802,1766,1736,1672,1668,1655,1609,1587
IL,156638,155931,155048,154094,152899,151572,150554,149574,148987,148373,147734,146872,145935,145066,144238,143514,142776,142130,141344,140434,139540,138825,138224,137762,137104,136470,135639,135046,134500,133877,133404,132732,132059,131327,130561,129936,129139,127757,126890,125915,124759,123830,122848,121234,120260,118917,117455,115833,114306,113195,112017,110304,107796,105444,102686,100418,98030,96485,94191,92457,90369,87937,84698,83021,79007,77741,76085,73760,70873,68232,65962,63840,61499,58505,56055,52918,50355,48102,45883,43903,41777,39658,36934,35108,33059,31508,30357,29160,27575,25733
IN,52685,52037,51612,51079,50300,49575,49063,48626,48331,48008,47432,46915,46387,45952,45594,45228,44930,44575,44140,43655,43140,42871,42633,42423,42061,41746,41438,41013,40786,40430,39909,39543,39146,38748,38337,38033,37623,37397,36997,36578,36096,35712,35237,34830,34574,34211,33558,33068,32437,32078,31715,31376,30901,30409,29936,29274,28705,28255,27778,27280,26655,26053,25473,25127,24627,24126,23732,23146,22503,21870,21033,20507,19933,19295,18630,17835,17182,16588,15961,15012,14395,13680,13039,12438,12097,11686,11210,10641,10154,9542
