CORREGIMIENTO,DISTRITO,Sem 11,Sem 12,Sem 13,Sem 14,Sem 15,Sem 16,Sem 17,Sem 18,Sem 19,Sem 20,Sem 21,Sem 22,Sem 23,Sem 24
24 DE diciembre,PANAMA,0,1,16,40,90,143,207,247,286,336,368,468,595,725
AGUA FRIA,SANTA FE,0,0,0,0,0,1,1,1,2,2,2,2,2,2
AGUADULCE,AGUADULCE,0,0,2,4,4,4,6,6,7,8,8,8,12,13
AILIGANDI,GUNA YALA,0,0,1,3,11,18,50,94,100,101,101,101,101,101
ALANJE,ALANJE,0,0,0,2,2,2,2,2,2,2,2,4,7,7
ALCALDE DIAZ,PANAMA,1,5,19,41,73,98,110,128,136,153,164,206,275,365
ALMIRANTE,CHANGUINOLA,0,0,0,0,0,0,1,1,1,2,2,3,4,9
ALTO ALFARO,SANTIAGO,0,0,0,0,0,1,1,1,1,1,1,1,1,1
ALTO BOQUETE,BOQUETE,0,0,2,2,2,5,14,14,14,14,14,14,14,14
AMADOR,LA CHORRERA,0,0,1,2,2,2,2,2,2,2,2,5,5,7
AMELIA DENIS DE ICAZA,SAN MIGUELITO,1,4,22,30,52,60,73,93,115,137,158,193,276,350
ANCON,PANAMA,3,11,25,41,92,117,149,176,200,219,239,267,297,332
ANTON,ANTON,0,0,0,0,0,0,0,0,1,2,6,6,6,6
ARNULFO ARIAS,SAN MIGUELITO,0,2,9,12,25,36,47,76,101,126,150,202,259,387
ARRAIJAN,ARRAIJAN,1,3,19,76,159,199,248,305,362,418,470,572,709,849
ASERRIO DE GARICHE,BUGABA,0,0,1,1,2,2,2,3,4,5,7,7,7,7
ATALAYA,ATALAYA,0,0,2,4,7,8,13,16,17,26,28,32,34,41
BACO,BARU,0,0,0,0,0,0,0,0,0,0,0,2,12,16
BAGALA,BOQUERON,0,0,0,0,1,1,1,1,1,1,1,1,1,4
BAHIA HONDA,SONA,0,0,0,0,1,1,1,1,1,1,1,1,1,1
BAJO BOQUETE,BOQUETE,0,0,0,0,1,2,3,3,3,3,3,3,3,3
BAJO CEDRO,CHIRIQUI GRANDE,0,0,0,0,0,0,0,0,0,0,0,0,4,4
BARRIADA 4 ABRIL,CHANGUINOLA,0,0,0,0,0,0,0,0,0,0,1,1,8,11
BARRIADA GUAYMI,CHANGUINOLA,0,0,0,0,0,0,1,1,1,1,1,1,1,3
BARRIO BALBOA,LA CHORRERA,0,2,11,15,22,25,29,35,37,45,51,69,78,93
BARRIO COLON,LA CHORRERA,1,3,6,24,35,45,62,72,78,87,97,117,146,171
BARRIO NORTE,COLON,0,1,1,2,3,4,5,7,7,8,9,12,14,22
BARRIO SUR,COLON,0,0,0,0,0,3,3,3,3,3,3,5,9,20
BARRIOS UNIDOS,AGUADULCE,0,0,0,0,2,2,3,4,4,4,4,5,6,8
BARU,BARU,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BEJUCO,CHAME,0,0,0,0,1,1,1,1,1,1,2,2,2,4
BELISARIO FRIAS,SAN MIGUELITO,0,0,7,19,45,61,76,99,126,157,176,231,304,453
BELISARIO PORRAS,SAN MIGUELITO,2,3,11,23,64,78,101,151,184,227,265,366,468,627
BELLA VISTA,PANAMA,3,15,34,50,58,62,74,101,111,117,126,138,158,178
BETANIA,PANAMA,5,12,41,56,74,96,112,133,142,151,159,180,223,253
BISIRA,KANKINTU,0,0,0,0,0,0,0,0,0,1,1,1,1,3
BISVALLES,LA MESA,0,0,1,1,1,1,1,1,1,1,1,1,1,1
BOCA DE CUPE,PINOGANA,0,0,0,0,0,0,1,1,1,1,1,1,1,10
BOCAS DEL TORO,BOCAS DEL TORO,0,0,0,0,0,0,0,0,0,0,0,2,14,23
BOQUERON,BOQUERON,0,0,0,1,2,4,4,4,4,4,4,6,6,11
BUENA VISTA,COLON,0,0,0,1,2,3,3,4,4,4,5,8,18,27
BUENOS AIRES,ÑURUM,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BUGABA,BUGABA,0,0,0,0,0,2,2,2,3,5,5,5,5,10
BURI,JIRONDAI,0,0,0,0,0,0,2,9,25,29,32,33,33,35
BURUNGA,ARRAIJAN,0,0,12,23,45,69,97,124,147,169,185,250,308,362
CABALLERO,ANTON,0,0,0,0,1,1,1,1,1,1,1,1,1,1
CABUYA,CHAME,0,0,0,0,0,0,0,0,0,0,0,0,4,4
CAIMITO,CAPIRA,0,0,0,0,1,1,1,2,2,2,2,2,2,2
CAIZAN,RENACIMIENTO,0,0,1,1,1,1,1,1,1,1,1,1,1,1
CALIDONIA,PANAMA,0,1,13,39,67,83,96,109,125,144,188,229,278,323
CALOBRE,CALOBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAMPANA,CAPIRA,0,0,0,0,0,0,1,4,4,4,4,5,5,5
CANTO DEL LLANO,SANTIAGO,0,0,0,0,6,10,15,20,20,27,27,34,42,51
CAÑAS GORDAS,RENACIMIENTO,0,0,0,0,1,1,1,1,1,1,1,1,1,1
CAÑAVERAL,KUSAPIN,0,0,0,0,0,0,0,0,0,0,0,0,4,4
0,PENONOME,0,1,1,1,1,2,2,2,2,2,2,2,2,2
CAÑAZAS,CAÑAZAS,0,0,1,1,2,2,2,3,3,3,3,4,4,4
CAÑITA,CHEPO,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAÑITAS,CHEPO,0,0,0,2,2,2,2,2,2,3,3,3,5,6
CAPIRA,CAPIRA,0,0,2,2,7,9,11,12,14,14,14,14,14,17
CARLOS SANTANA AVILA,ATALAYA,0,0,0,0,0,0,1,1,1,1,1,2,2,2
CATIVA,COLON,0,1,3,7,7,13,23,30,32,34,37,41,55,70
CEMACO,CEMACO,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CERMEÑO,CAPIRA,0,0,0,0,1,1,1,1,1,1,1,1,1,1
CERRO BLANCO,BESIKO,0,0,0,0,0,0,0,0,0,0,0,0,2,2
CERRO CAÑA,MUNA,0,0,0,1,1,1,1,1,1,1,1,1,1,1
CERRO PELADO,ÑURUM,0,0,0,0,0,0,0,0,0,0,0,0,1,5
CERRO SILVESTRE,ARRAIJAN,0,2,12,20,31,39,53,62,69,73,83,128,142,179
0,LA CHORRERA,0,0,1,1,1,1,1,1,1,1,1,1,1,1
CHAME,CHAME,0,0,0,0,0,0,1,2,2,3,3,6,7,11
CHANGUINOLA,CHANGUINOLA,0,0,0,0,0,0,1,3,5,8,16,44,79,169
CHEPO,CHEPO,0,1,1,6,26,36,49,56,69,86,99,111,164,237
CHIGUIRI ARRIBA,PENONOME,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHILIBRE,PANAMA,2,4,22,44,91,151,162,188,202,220,240,277,329,412
CHIRIQUI GRANDE,CHIRIQUI GRANDE,0,0,0,0,0,0,1,4,6,18,38,62,83,96
CHITRE,CHITRE,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CIRILO GUAINORA,CEMACO,0,0,0,0,0,0,0,0,0,0,0,0,3,25
CIRILO GUAYNORA,CEMACO,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COCHEA,DAVID,0,0,0,0,0,0,0,0,0,0,0,0,2,2
COMARCA MADUGANDI,CHEPO,0,0,0,0,0,0,0,0,0,0,0,12,30,31
COMARCA WARGANDI,PINOGANA,0,0,0,5,8,9,9,16,18,22,26,26,26,26
COROZAL,LAS PALMAS,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COSTA HERMOSA,MONTIJO,0,0,0,0,2,2,2,2,2,2,2,2,3,3
CRISTOBAL,COLON,0,1,4,7,16,28,41,62,71,76,88,118,134,188
CRISTOBAL ESTE,COLON,0,0,0,0,0,0,0,0,0,0,0,0,0,10
CUCUNATI,SANTA FE,0,0,0,1,2,3,3,3,3,3,3,3,3,3
CURUNDU,PANAMA,0,0,3,18,51,91,121,167,217,271,308,381,471,539
DAVID,DAVID,0,0,7,8,11,14,16,16,18,20,27,33,49,84
DIVALA,ALANJE,0,0,0,1,2,4,4,4,5,21,92,102,133,144
DOLEGA,DOLEGA,0,0,0,0,0,0,0,0,0,0,0,1,2,5
DONOSO,DONOSO,0,0,0,0,0,0,0,1,1,1,1,1,1,1
EDWIN FABREGA,SANTIAGO,0,0,3,3,4,4,11,11,12,14,14,14,14,15
EL ARADO,LA CHORRERA,0,0,0,0,3,3,3,4,4,6,17,18,24,34
EL AROMILLO,CAÑAZAS,0,0,1,1,1,1,1,1,1,1,1,1,1,1
EL BARRERO,PESE,0,0,0,0,0,0,0,2,2,2,2,2,2,2
EL BARRITO,ATALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EL CAÑO,NATA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EL CHIRU,ANTON,0,0,0,0,1,1,1,1,1,1,1,1,1,1
EL CHORRILLO,PANAMA,0,0,5,19,43,60,83,109,137,165,212,285,367,444
EL COCO,LA CHORRERA,0,0,1,5,14,18,24,30,32,33,40,57,65,83
0,PENONOME,0,0,1,1,2,2,2,3,3,3,4,4,4,5
EL CRISTO,AGUADULCE,0,0,0,0,0,0,0,0,0,0,0,0,1,2
EL CUAY,SANTA FE,0,0,0,1,1,1,1,1,1,1,1,1,1,1
EL EJIDO,LOS SANTOS,0,0,0,0,1,1,1,1,1,1,1,2,2,2
EL EMPALME,CHANGUINOLA,0,0,0,0,1,2,4,4,5,7,7,25,52,79
EL HARINO,AGUADULCE,0,0,0,0,0,0,0,1,2,2,2,2,2,2
EL HIGO,LA MESA,0,0,0,1,1,1,1,1,1,1,1,1,1,1
0,SAN CARLOS,0,0,0,0,2,2,2,2,3,3,3,3,3,3
EL LIMON,SANTA MARIA,0,0,0,1,1,1,1,1,1,1,1,1,1,1
EL LLANO,CHEPO,0,0,1,1,1,1,1,1,1,1,1,1,1,1
EL MARAÑON,SANTIAGO,0,0,0,0,0,0,0,0,0,0,0,0,2,2
0,SONA,0,0,0,0,0,1,1,1,1,1,1,1,2,2
EL PAJARO,PESE,0,0,0,1,1,1,1,1,1,1,1,1,1,1
EL PILON,MONTIJO,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL PORVENIR,REMEDIOS,0,0,0,1,1,1,1,1,1,1,1,1,1,1
EL ROBLE,AGUADULCE,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EL ROBLE,PENONOME,0,0,0,0,0,0,0,1,5,7,7,7,7,7
EL SILENCIO,CHANGUINOLA,0,0,0,0,0,0,0,0,0,0,0,0,1,5
EL TEJAR,ALANJE,0,0,0,0,0,0,0,0,9,11,11,12,13,16
EL VALLE,ANTON,0,0,0,1,1,1,1,1,1,1,1,2,2,2
ERNESTO CORDOBA CAMPOS,PANAMA,3,6,22,33,64,82,96,110,121,134,151,196,260,377
FEUILLET,LA CHORRERA,0,0,0,0,1,1,2,3,3,4,4,5,6,17
FINCA 30,CHANGUINOLA,0,0,0,1,1,1,1,1,1,1,1,1,6,34
FINCA 6,CHANGUINOLA,0,0,0,0,0,0,0,0,0,0,0,0,6,17
FINCA 60,CHANGUINOLA,0,0,0,0,0,0,0,0,0,0,0,4,20,34
GUABITO,CHANGUINOLA,0,0,0,1,1,1,2,3,3,3,3,3,6,9
GUADALUPE,LA CHORRERA,0,1,9,21,41,56,76,96,105,115,124,157,171,206
GUALACA,GUALACA,0,0,0,4,4,4,4,4,4,4,5,5,5,6
GUARUMAL,SONA,0,0,0,0,0,0,0,1,1,1,1,1,1,1
HERRERA,LA CHORRERA,0,1,2,11,21,27,41,56,70,81,85,98,112,140
HICACO,SONA,0,0,1,1,1,1,1,1,1,1,1,1,1,1
ITURRALDE,LA CHORRERA,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JOSE DOMINGO ESPINAR,SAN MIGUELITO,0,6,20,30,48,59,71,87,99,111,120,137,173,196
JUAN DEMOSTENES AROSEMENA,ARRAIJAN,2,7,25,39,69,88,107,140,173,195,214,258,292,351
JUAN DIAZ,PANAMA,6,26,70,109,160,220,267,316,393,425,451,500,597,711
